time,iterations,norm,size,nodes,threshold
3.61339,11138,9.98943e-05,1000,8,0.0001
3.68043,10409,9.98876e-05,1000,8,0.0001
5.39422,12197,9.99614e-05,1000,8,0.0001
5.82472,11646,9.99518e-05,1000,8,0.0001
5.57458,11207,9.99669e-05,1000,8,0.0001
5.53027,11147,9.99868e-05,1000,8,0.0001
6.13303,12320,9.99162e-05,1000,8,0.0001
5.40701,10567,9.98863e-05,1000,8,0.0001
5.55453,11157,9.99501e-05,1000,8,0.0001
5.68502,11450,9.99676e-05,1000,8,0.0001
5.73617,11767,9.99321e-05,1000,7,0.0001
5.30177,10868,9.99564e-05,1000,7,0.0001
4.96887,10314,9.99846e-05,1000,7,0.0001
5.39554,11154,9.99674e-05,1000,7,0.0001
5.74704,11895,9.99797e-05,1000,7,0.0001
5.76734,11864,9.99259e-05,1000,7,0.0001
5.81148,11969,9.99533e-05,1000,7,0.0001
5.32577,11028,9.99465e-05,1000,7,0.0001
5.99627,12178,9.9921e-05,1000,7,0.0001
7.1725,12522,9.99965e-05,1000,7,0.0001
5.86408,11103,9.99253e-05,1000,6,0.0001
5.91035,11416,9.99942e-05,1000,6,0.0001
5.63287,10931,9.99709e-05,1000,6,0.0001
5.89758,11463,9.99829e-05,1000,6,0.0001
6.11412,11698,9.9985e-05,1000,6,0.0001
6.06842,11616,9.99615e-05,1000,6,0.0001
6.55857,12555,9.99671e-05,1000,6,0.0001
7.60991,12980,9.99142e-05,1000,6,0.0001
5.80417,11085,9.99601e-05,1000,6,0.0001
6.79747,11881,9.9918e-05,1000,6,0.0001
6.96093,11555,9.992e-05,1000,5,0.0001
6.98516,12310,9.99554e-05,1000,5,0.0001
6.46455,11431,9.99576e-05,1000,5,0.0001
6.56322,11536,9.99787e-05,1000,5,0.0001
7.15347,12592,9.99321e-05,1000,5,0.0001
7.0343,12379,9.99603e-05,1000,5,0.0001
7.62724,13465,9.9995e-05,1000,5,0.0001
6.63466,11707,9.99201e-05,1000,5,0.0001
6.44042,11403,9.99543e-05,1000,5,0.0001
6.59008,11612,9.99116e-05,1000,5,0.0001
6.50449,12376,9.99325e-05,1000,4,0.0001
6.43951,12238,9.99831e-05,1000,4,0.0001
6.70633,11619,9.99012e-05,1000,4,0.0001
7.80883,11568,9.99085e-05,1000,4,0.0001
7.14885,12262,9.99143e-05,1000,4,0.0001
6.73268,11165,9.99528e-05,1000,4,0.0001
6.48982,11721,9.99269e-05,1000,4,0.0001
5.91029,11255,9.99956e-05,1000,4,0.0001
6.07214,11548,9.99622e-05,1000,4,0.0001
5.83202,11124,9.99116e-05,1000,4,0.0001
7.70914,12957,9.99368e-05,1000,3,0.0001
6.86431,11682,9.99151e-05,1000,3,0.0001
6.45656,10778,9.99529e-05,1000,3,0.0001
6.75416,10933,9.99151e-05,1000,3,0.0001
7.00627,11389,9.99829e-05,1000,3,0.0001
6.67188,11356,9.996e-05,1000,3,0.0001
6.88035,11708,9.99087e-05,1000,3,0.0001
6.78222,11649,9.99536e-05,1000,3,0.0001
6.81396,11618,9.99062e-05,1000,3,0.0001
6.30756,10881,9.99279e-05,1000,3,0.0001
7.93942,11072,9.99437e-05,1000,2,0.0001
9.08837,12561,9.99517e-05,1000,2,0.0001
8.00633,11106,9.99734e-05,1000,2,0.0001
8.17337,11306,9.99808e-05,1000,2,0.0001
8.41556,11507,9.99943e-05,1000,2,0.0001
7.92796,10781,9.99866e-05,1000,2,0.0001
8.50183,11679,9.99861e-05,1000,2,0.0001
7.91515,11506,9.99518e-05,1000,2,0.0001
8.52166,11827,9.98992e-05,1000,2,0.0001
8.519,11713,9.99009e-05,1000,2,0.0001
15.5768,12122,9.99774e-05,1000,1,0.0001
15.2443,11644,9.99392e-05,1000,1,0.0001
14.3124,10966,9.99082e-05,1000,1,0.0001
15.6822,12042,9.99608e-05,1000,1,0.0001
14.2771,11038,9.98967e-05,1000,1,0.0001
14.9575,11596,9.99512e-05,1000,1,0.0001
14.2597,11006,9.99434e-05,1000,1,0.0001
14.0644,10899,9.99577e-05,1000,1,0.0001
15.3528,11759,9.9914e-05,1000,1,0.0001
15.4088,11799,9.99927e-05,1000,1,0.0001
